wto_rta_id,RTA Name,Coverage,Type,Notification,Status,Date of Signature (G),Date of Signature (S),Date of Notification (G),Date of Notification (S),Date of Entry into Force (G),Date of Entry into Force (S),Inactive Date,Accession?,RTA Composition,Region,Cross-regional,All Parties WTO members?,Current signatories,Original signatories,Specific Entry/Exit dates,WTO Consideration Process (G),Consideration Date (G),WTO Consideration Process (S),Consideration Date (S),End of implementation period (G),End of implementation period (S),Remarks,date_of_signature,date_of_entry_into_force
252,EC - Jordan Cooperation Agreement,Goods,FTA,GATT Art. XXIV,Inactive,18-Jan-77,NA,02-Jun-77,NA,01-Nov-78,NA,01-May-02,No,Plurilateral,Europe; Middle East,Yes,Yes,NA,Belgium; Denmark; France; Germany; Ireland; Italy; Jordan; Luxembourg; Netherlands; United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,1977-01-18,1978-11-01
263,EC â€“ Overseas Countries and Territories 1 (OCT),Goods,CU,GATT Art. XXIV,Inactive,25-Feb-64,NA,02-Feb-65,NA,01-Jun-64,NA,01-Jan-71,No,Plurilateral,Europe; Africa; Oceania; Caribbean; North America; South America,Yes,No,NA,Belgium; Comoros; Mayotte; France; French Polynesia; Germany; Italy; Luxembourg; Netherlands; Netherlands Antilles; New Caledonia; Saint Pierre and Miquelon; Suriname; Wallis and Futuna Islands,NA,NA,NA,NA,NA,NA,NA,NA,1964-02-25,1964-06-01
287,EFTA - Czechoslovakia,Goods,FTA,GATT Art. XXIV,Inactive,20-Mar-92,NA,03-Jul-92,NA,01-Jul-92,NA,19-Mar-93,No,Plurilateral,Europe,No,Yes,NA,Austria; Finland; Iceland; Liechtenstein; Norway; Sweden; Switzerland,NA,NA,NA,NA,NA,NA,NA,"This agreement was also signed by Czechoslovakia, which ceased to exist in 1993.",1992-03-20,1992-07-01
305,Finland - Bulgaria,Goods,FTA,GATT Art. XXIV,Inactive,26-Apr-74,NA,31-Dec-75,NA,01-Jan-75,NA,01-Jul-93,No,Bilateral,Europe,No,Yes,NA,Bulgaria; Finland,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-26,1975-01-01
306,Finland - Czechoslovakia Agreement,Goods,FTA,GATT Art. XXIV,Inactive,19-Sep-74,NA,22-Jan-75,NA,01-Jan-75,NA,01-Jul-92,No,Bilateral,Europe,No,Yes,NA,Finland,NA,NA,NA,NA,NA,NA,NA,"This agreement was also signed by Czechoslovakia, which ceased to exist in 1993.",1974-09-19,1975-01-01
308,Finland - German Democratic Republic Agreement,Goods,FTA,GATT Art. XXIV,Inactive,04-Mar-75,NA,28-Aug-75,NA,01-Jul-75,NA,03-Nov-89,No,Bilateral,Europe,No,Yes,NA,Finland; Germany,NA,NA,NA,NA,NA,NA,NA,NA,1975-03-04,1975-07-01
309,Finland - Hungary Agreement,Goods,FTA,GATT Art. XXIV,Inactive,02-May-74,NA,22-Jan-75,NA,01-Jan-75,NA,01-Oct-93,No,Bilateral,Europe,No,Yes,NA,Finland; Hungary,NA,NA,NA,NA,NA,NA,NA,NA,1974-05-02,1975-01-01
312,Finland - Poland Agreement,Goods,FTA,GATT Art. XXIV,Inactive,29-Sep-76,NA,26-Apr-78,NA,01-Apr-78,NA,15-Nov-93,No,Bilateral,Europe,No,Yes,NA,Finland; Poland,NA,NA,NA,NA,NA,NA,NA,NA,1976-09-29,1978-04-01
313,Finland-European Free Trade Association (FINEFTA),Goods,FTA,GATT Art. XXIV,Inactive,27-Mar-61,NA,24-Apr-61,NA,26-Jun-61,NA,10-Feb-86,No,Plurilateral,Europe,No,Yes,NA,Austria; Denmark; Finland; Norway; Portugal; Sweden; Switzerland; United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,1961-03-27,1961-06-26
351,Slovak Republic - Slovenia Free Trade Agreement,Goods,FTA,GATT Art. XXIV,Inactive,22-Dec-93,NA,04-May-94,NA,01-Jan-94,NA,25-Nov-95,No,Bilateral,Europe,No,Yes,NA,Slovak Republic; Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,1993-12-22,1994-01-01
464,EFTA - Thailand,Goods & Services,NA,NA,Early announcement-Signed,23-Jan-25,23-Jan-25,NA,NA,NA,NA,NA,No,Bilateral; One Party is an RTA,East Asia; Europe,Yes,Yes,Thailand; European Free Trade Association (EFTA),Thailand; European Free Trade Association (EFTA),NA,NA,NA,NA,NA,NA,NA,NA,2025-01-23,NA
1056,EFTA - Kosovo,Goods & Services,NA,NA,Early announcement-Signed,22-Jan-25,22-Jan-25,NA,NA,NA,NA,NA,No,Bilateral; One Party is an RTA,Europe,No,No,UNMIK/Kosovo; European Free Trade Association (EFTA),UNMIK/Kosovo; European Free Trade Association (EFTA),NA,NA,NA,NA,NA,NA,NA,Reference to Kosovo shall be understood to be in the context of the United Nations Security Council resolution 1244 (1999).,2025-01-22,NA
